Titulo;Rua;Metros;Quartos;Banheiro;Garagem;Preço;Link;Id;Concatenados
Setor Marista, Goiânia;Rua 1128;80 m²;3;3;1;R$ 745.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-setor-marista-goiania-go-80m2-id-2795543341/?source=ranking%2Crp;2795543341;Setor Marista, GoiâniaRua 112880 m²33R$ 745.000
Setor Marista, Goiânia;Rua 1141;174-348 m²;3-4;4-5;2-4;R$ 1.850.000;https://www.zapimoveis.com.br/lancamento/venda-apartamento-4-quartos-setor-marista-goiania-go-348m2-id-2706883394/?source=ranking%2Crp;2706883394;Setor Marista, GoiâniaRua 1141174-348 m²3-44-5R$ 1.850.000
Setor Marista, Goiânia;Rua 1128;167 m²;3;5;3;R$ 1.670.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-go-167m2-id-2795699817/?source=ranking%2Crp;2795699817;Setor Marista, GoiâniaRua 1128167 m²35R$ 1.670.000
Setor Marista, Goiânia;Rua 24;125 m²;3;4;2;R$ 1.100.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-go-125m2-id-2800875743/?source=ranking%2Crp;2800875743;Setor Marista, GoiâniaRua 24125 m²34R$ 1.100.000
Setor Marista, Goiânia;Rua Amélia Artiaga Jardim;71-133 m²;2-3;2-3;1-2;R$ 800.000;https://www.zapimoveis.com.br/lancamento/venda-apartamento-3-quartos-setor-marista-goiania-go-133m2-id-2766696426/?source=ranking%2Crp;2766696426;Setor Marista, GoiâniaRua Amélia Artiaga Jardim71-133 m²2-32-3R$ 800.000
Setor Marista, Goiânia;Rua 138;93 m²;2;3;2;R$ 960.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-setor-marista-goiania-93m2-id-2684375443/?source=ranking%2Crp;2684375443;Setor Marista, GoiâniaRua 13893 m²23R$ 960.000
Setor Marista, Goiânia;Rua 38;129 m²;3;4;2;R$ 1.099.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-academia-setor-marista-goiania-129m2-id-2614682721/?source=ranking%2Crp;2614682721;Setor Marista, GoiâniaRua 38129 m²34R$ 1.099.000
Setor Marista, Goiânia;Rua 1138;283 m²;4;6;4;R$ 3.699.999;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-setor-marista-goiania-283m2-id-2444585095/?source=ranking%2Crp;2444585095;Setor Marista, GoiâniaRua 1138283 m²46R$ 3.699.999
Setor Marista, Goiânia;Rua 1141;111 m²;3;5;2;R$ 920.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-111m2-id-2799957649/?source=ranking%2Crp;2799957649;Setor Marista, GoiâniaRua 1141111 m²35R$ 920.000
Setor Marista, Goiânia;Rua 135;216 m²;4;6;2;R$ 2.390.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-setor-marista-goiania-216m2-id-2800871149/?source=ranking%2Crp;2800871149;Setor Marista, GoiâniaRua 135216 m²46R$ 2.390.000
Setor Marista, Goiânia;Rua 1141;354 m²;4;5;3;R$ 4.190.000;https://www.zapimoveis.com.br/lancamento/venda-apartamento-4-quartos-setor-marista-goiania-go-354m2-id-2706883496/?source=ranking%2Crp;2706883496;Setor Marista, GoiâniaRua 1141354 m²45R$ 4.190.000
Setor Marista, Goiânia;Rua 137-A;105 m²;2;3;2;R$ 939.448;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-setor-marista-goiania-105m2-id-2724179433/?source=ranking%2Crp;2724179433;Setor Marista, GoiâniaRua 137-A105 m²23R$ 939.448
Setor Marista, Goiânia;Rua 1141;70 m²;1;2;1;R$ 750.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-setor-marista-goiania-70m2-id-2804145742/?source=ranking%2Crp;2804145742;Setor Marista, GoiâniaRua 114170 m²12R$ 750.000
Setor Marista, Goiânia;;136 m²;3;4;2;R$ 1.299.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-136m2-id-2803286578/?source=ranking%2Crp;2803286578;Setor Marista, Goiânianan136 m²34R$ 1.299.000
Setor Marista, Goiânia;Rua 135;50 m²;1;2;1;R$ 608.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-setor-marista-goiania-50m2-id-2799699664/?source=ranking%2Crp;2799699664;Setor Marista, GoiâniaRua 13550 m²12R$ 608.000
Setor Marista, Goiânia;Rua 1123;62 m²;2;3;1;R$ 650.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-setor-marista-goiania-62m2-id-2798252718/?source=ranking%2Crp;2798252718;Setor Marista, GoiâniaRua 112362 m²23R$ 650.000
Setor Marista, Goiânia;Rua 1128;64-104 m²;2-3;2-4;1-2;R$ 664.423;https://www.zapimoveis.com.br/lancamento/venda-apartamento-3-quartos-setor-marista-goiania-go-104m2-id-2792843145/?source=ranking%2Crp;2792843145;Setor Marista, GoiâniaRua 112864-104 m²2-32-4R$ 664.423
Setor Marista, Goiânia;Rua 135;81 m²;2;3;1;R$ 815.004;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-setor-marista-goiania-81m2-id-2570612434/?source=ranking%2Crp;2570612434;Setor Marista, GoiâniaRua 13581 m²23R$ 815.004
Setor Marista, Goiânia;Rua 1121;98 m²;3;4;2;R$ 1.070.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-setor-marista-goiania-98m2-id-2804281194/?source=ranking%2Crp;2804281194;Setor Marista, GoiâniaRua 112198 m²34R$ 1.070.000
Setor Marista, Goiânia;Rua Mário Bittar;100 m²;3;3;2;R$ 880.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-100m2-id-2803558824/?source=ranking%2Crp;2803558824;Setor Marista, GoiâniaRua Mário Bittar100 m²33R$ 880.000
Setor Marista, Goiânia;Rua 24;66 m²;2;2;1;R$ 827.037;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-setor-marista-goiania-66m2-id-2740064095/?source=ranking%2Crp;2740064095;Setor Marista, GoiâniaRua 2466 m²22R$ 827.037
Setor Marista, Goiânia;Rua 137-A;83 m²;2;2;1;R$ 804.906;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-setor-marista-goiania-go-83m2-id-2755311701/?source=ranking%2Crp;2755311701;Setor Marista, GoiâniaRua 137-A83 m²22R$ 804.906
Setor Marista, Goiânia;Rua 36;162 m²;3;5;3;R$ 1.850.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-setor-marista-goiania-go-162m2-id-2797756515/?source=ranking%2Crp;2797756515;Setor Marista, GoiâniaRua 36162 m²35R$ 1.850.000
Setor Marista, Goiânia;Rua 148;321 m²;4;5;4;R$ 3.400.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-setor-marista-goiania-go-321m2-id-2624451121/?source=ranking%2Crp;2624451121;Setor Marista, GoiâniaRua 148321 m²45R$ 3.400.000
